"ITEMCODE","LOCATIONKEY","QUANTITYONHAND","QUANTITYBACKORDERED","QUANTITYRESERVED","QUANTITYINTRANSIT","BINLOCATION"
"100-106-10","02","6","0","-10","0","CC"
"100-106-10","03","0","0","0","0",""
"100-106-100","00","0","0","0","0","RP"
"100-106-100","01","0","0","0","0","CC"
"100-106-100","02","22","0","1","0","CC"
"100-106-100","03","0","0","0","0",""
"100-108-10","00","0","0","0","0","RP"
"100-108-10","01","0","0","0","0","CC"
"100-108-10","02","11","0","0","0","CX"
"100-108-10","03","0","0","0","0",""
"100-108-100","00","0","0","0","0","RP"
"100-108-100","01","0","0","0","0","CC"
"100-108-100","02","7","0","0","0","CX"
"100-108-100","03","0","0","0","0",""
"100-110-10","00","0","0","0","0","RP"
"100-110-10","01","0","0","0","0","CC"
"100-110-10","02","0","0","0","0",""
"100-110-10","03","0","0","0","0",""
"100-208-10","00","0","0","0","0","RP"
"100-208-10","01","0","0","0","0",""
"100-208-10","02","0","0","0","0",""
"100-208-10","03","0","0","0","0",""
"100-208-100","00","0","0","0","0","RP"
"100-208-100","01","0","0","0","0",""
"100-208-100","02","0","0","0","0",""
"100-208-100","03","0","0","0","0",""
"100-208A-10","01","0","0","0","0",""
"100-208A-10","02","0","0","0","0",""
"100-208A-10","03","0","0","0","0",""
"100-208A-100","01","0","0","0","0",""
"100-208A-100","02","0","0","0","0",""
"100-208A-100","03","0","0","0","0",""
"100-208C5-10","01","0","0","0","0","CC"
"100-208C5-10","02","26","0","0","0","CC"
"100-208C5-10","03","0","0","0","0",""
"100-208C5-100","01","0","0","0","0","CC"
"100-208C5-100","02","22","0","0","0","CC"
"100-208C5-100","03","0","0","0","0",""
"100-208C6-10","01","0","0","0","0","CC"
"100-208C6-10","02","14","0","0","0","CC"
"100-208C6-10","03","0","0","0","0",""
"100-208C6-100","00","0","0","0","0",""
"100-208C6-100","01","0","0","0","0","CC"
"100-208C6-100","02","8","0","0","0","CC"
"100-208C6-100","03","0","0","0","0",""
"100-228C5-10","02","0","0","0","0",""
"100-228C5-10","03","0","0","0","0",""
"100-306-10","00","0","0","0","0","RP"
"100-306-10","01","0","0","0","0","CC"
"100-306-10","02","3","0","0","0","RP"
"100-306-10","03","0","0","0","0",""
"100-320-10","01","0","0","0","0","RI"
"100-320-10","02","17","0","0","0","RI"
"100-320-10","03","0","0","0","0",""
"100-321-10","02","4","0","0","0","RI"
"100-321-10","03","0","0","0","0",""
"100-322-10","01","0","0","0","0","RI"
"100-322-10","02","11","0","0","0","RI"
"100-322-10","03","0","0","0","0",""
"100-323-10","01","0","0","0","0","RI"
"100-323-10","02","8","0","0","0","RI"
"100-323-10","03","0","0","0","0",""
"100-324-10","01","0","0","0","0","RI"
"100-324-10","02","4","0","0","0","RI"
"100-324-10","03","0","0","0","0",""
"100-325-10","01","0","0","0","0","RI"
"100-325-10","02","4","0","0","0","RI"
"100-325-10","03","0","0","0","0",""
"100-326-10","01","0","0","0","0","RI"
"100-326-10","02","7","0","0","0","RI"
"100-326-10","03","0","0","0","0",""
"100-401","00","0","0","0","0",""
"100-401","01","0","0","0","0","CC"
"100-401","02","31","0","0","0","CC"
"100-401","03","0","0","0","0",""
"100-402","00","0","0","0","0",""
"100-402","01","0","0","0","0","CC"
"100-402","02","78","0","0","0","CC"
"100-402","03","0","0","0","0",""
"100-403","00","0","0","0","0",""
"100-403","01","0","0","0","0","CC"
"100-403","02","16","0","0","0","CC"
"100-403","03","0","0","0","0",""
"100-404","00","0","0","0","0",""
"100-404","01","0","0","0","0","CC"
"100-404","02","20","0","0","0","CC"
"100-404","03","0","0","0","0",""
"100-406","00","0","0","0","0",""
"100-406","01","0","0","0","0","CC"
"100-406","02","20","0","0","0","CC"
"100-406","03","0","0","0","0",""
"100-411","00","0","0","0","0",""
"100-411","01","0","0","0","0","CC"
"100-411","02","215","0","0","0","CC"
"100-411","03","0","0","0","0",""
"100-412","00","0","0","0","0",""
"100-412","01","0","0","0","0","CC"
"100-412","02","58","0","0","0","CC"
"100-412","03","0","0","0","0",""
"100-415","02","11","0","0","0","CC"
"100-415","03","0","0","0","0",""
"100-416","02","0","0","0","0",""
"100-416","03","0","0","0","0",""
"100-500","00","0","0","0","0",""
"100-500","01","0","0","0","0","CC"
"100-500","02","24","0","0","0","CC"
"100-500","03","0","0","0","0",""
"100-502","00","0","0","0","0",""
"100-502","01","0","0","0","0","CC"
"100-502","02","7","0","0","0","CC"
"100-502","03","0","0","0","0",""
"100-504","00","0","0","0","0",""
"100-504","01","0","0","0","0","CC"
"100-504","02","0","0","0","0",""
"100-504","03","0","0","0","0",""
"100-6858","02","0","0","0","0",""
"100-505","00","0","0","0","0",""
"100-505","01","0","0","0","0","CC"
"100-505","02","9","0","0","0","CC"
"100-505","03","0","0","0","0",""
"100-506","00","0","0","0","0",""
"100-506","01","0","0","0","0","CC"
"100-506","02","83","0","0","0","CC"
"100-506","03","0","0","0","0",""
"100-506-10","02","1","0","0","0","RP"
"100-506-10","03","0","0","0","0",""
"100-506-50","01","0","0","0","0","RP"
"100-506-50","02","1","0","0","0","RP"
"100-506-50","03","0","0","0","0",""
"100-506A","01","0","0","0","0","CC"
"100-506A","02","60","0","0","0","CC"
"100-506A","03","0","0","0","0",""
"100-506A-10","02","1","0","0","0","RP"
"100-506A-10","03","0","0","0","0",""
"100-508","00","0","0","0","0",""
"100-508","01","0","0","0","0","CC"
"100-508","02","1","0","0","0",""
"100-508","03","0","0","0","0",""
"100-509","00","0","0","0","0",""
"100-509","01","0","0","0","0","CC"
"100-509","02","62","0","0","0","CC"
"100-509","03","0","0","0","0",""
"100-509-10","02","1","0","0","0","RP"
"100-509-10","03","0","0","0","0",""
"100-509-50","01","0","0","0","0","RP"
"100-509-50","02","1","0","0","0","RP"
"100-509-50","03","0","0","0","0",""
"100-509A","01","0","0","0","0","CC"
"100-509A","02","46","0","0","0","CC"
"100-509A","03","0","0","0","0",""
"100-509A-10","02","1","0","0","0","RP"
"100-509A-10","03","0","0","0","0",""
"100-512B","01","0","0","0","0",""
"100-512B","02","0","0","0","0",""
"100-512B","03","0","0","0","0",""
"100-516","01","0","0","0","0",""
"100-516","02","0","0","0","0",""
"100-516","03","0","0","0","0",""
"100-516A","01","0","0","0","0","CC"
"100-516A","02","54","0","0","0","CC"
"100-516A","03","0","0","0","0",""
"100-519","01","0","0","0","0",""
"100-519","02","0","0","0","0",""
"100-519","03","0","0","0","0",""
"100-519A","01","0","0","0","0","CC"
